gradoRiesgo,perdidasNormalizadas,marca,aspiracion,nroPuertas,tipoCabina,tipoTraccion,ubicacionMotor,distanciaRuedas,largo,ancho,altura,peso,tipoMotor,nroCilindros,tamañoMotor,fuel-system,diametroCilindro,carrera,indiceCcompresión,potencia,rpmLimite,mpgCiudad,mpgCarretera,PRECIO,eficienciaCombustible,tipoCombustible
2,94,volkswagen,turbo,four,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,37,42,9495,6.35135135135135,diesel
2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.825084094185488,0.909722222222222,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100.0,5500.0,26,32,9995,9.03846153846154,gas
3,122,volkswagen,std,two,convertible,fwd,front,94.5,0.765497357039885,0.891666666666667,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,11595,9.79166666666667,gas
3,256,volkswagen,std,two,hatchback,fwd,front,94.5,0.79625180201826,0.888888888888889,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,9980,9.79166666666667,gas
0,122,volkswagen,std,four,sedan,fwd,front,100.4,0.865929841422393,0.929166666666667,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,24,13295,12.3684210526316,gas
0,122,volkswagen,turbo,four,sedan,fwd,front,100.4,0.865929841422393,0.929166666666667,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,33,38,13845,7.12121212121212,diesel
0,122,volkswagen,std,four,wagon,fwd,front,100.4,0.87986544930322,0.929166666666667,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88.0,5500.0,25,31,12290,9.4,gas
-2,103,volvo,std,four,sedan,rwd,front,104.3,0.907256126862086,0.933333333333333,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,12940,10.2173913043478,gas
-1,74,volvo,std,four,wagon,rwd,front,104.3,0.907256126862086,0.933333333333333,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,13415,10.2173913043478,gas
-2,103,volvo,std,four,sedan,rwd,front,104.3,0.907256126862086,0.933333333333333,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,15985,9.79166666666667,gas
-1,74,volvo,std,four,wagon,rwd,front,104.3,0.907256126862086,0.933333333333333,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,16515,9.79166666666667,gas
-2,103,volvo,turbo,four,sedan,rwd,front,104.3,0.907256126862086,0.933333333333333,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18420,13.8235294117647,gas
-1,74,volvo,turbo,four,wagon,rwd,front,104.3,0.907256126862086,0.933333333333333,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18950,13.8235294117647,gas
-1,95,volvo,std,four,sedan,rwd,front,109.1,0.907256126862086,0.956944444444444,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,16845,10.2173913043478,gas
-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.907256126862086,0.955555555555556,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160.0,5300.0,19,25,19045,12.3684210526316,gas
-1,95,volvo,std,four,sedan,rwd,front,109.1,0.907256126862086,0.956944444444444,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134.0,5500.0,18,23,21485,13.0555555555556,gas
-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.907256126862086,0.956944444444444,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106.0,4800.0,26,27,22470,9.03846153846154,diesel
-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.907256126862086,0.956944444444444,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,19,25,22625,12.3684210526316,gas
